variant,benchmark,iterations,cpu_time_ns,real_time_ns,bytes_per_second,cpu_time_speedup_vs_O0,cpu_time_change_percent_vs_O0
flags_O0,BM_FlagSensitiveKernel/65536,432,644046.000,648811.000,814053000.000,1.0000,0.00
flags_O1,BM_FlagSensitiveKernel/65536,889,299967.000,302358.000,1747820000.000,2.1471,-53.42
flags_O2,BM_FlagSensitiveKernel/65536,890,309740.000,312748.000,1692670000.000,2.0793,-51.91
flags_O3,BM_FlagSensitiveKernel/65536,870,303444.000,305883.000,1727790000.000,2.1225,-52.88
flags_O3_fast_math,BM_FlagSensitiveKernel/65536,942,258837.000,260719.000,2025560000.000,2.4882,-59.81
flags_O3_march_native,BM_FlagSensitiveKernel/65536,891,313394.000,313878.000,1672940000.000,2.0551,-51.34
flags_O3_fast_math_march_native,BM_FlagSensitiveKernel/65536,1007,262256.000,264651.000,1999140000.000,2.4558,-59.28
flags_O0,BM_FlagSensitiveKernel/262144,106,2624570.000,2645230.000,799047000.000,1.0000,0.00
flags_O1,BM_FlagSensitiveKernel/262144,207,1350220.000,1359790.000,1553200000.000,1.9438,-48.55
flags_O2,BM_FlagSensitiveKernel/262144,206,1353150.000,1364300.000,1549830000.000,1.9396,-48.44
flags_O3,BM_FlagSensitiveKernel/262144,205,1372450.000,1382380.000,1528040000.000,1.9123,-47.71
flags_O3_fast_math,BM_FlagSensitiveKernel/262144,197,1406440.000,1421950.000,1491100000.000,1.8661,-46.41
flags_O3_march_native,BM_FlagSensitiveKernel/262144,206,1374020.000,1381290.000,1526290000.000,1.9101,-47.65
flags_O3_fast_math_march_native,BM_FlagSensitiveKernel/262144,198,1389480.000,1399820.000,1509310000.000,1.8889,-47.06
flags_O0,BM_FlagSensitiveKernel/1048576,27,10380300.000,10452400.000,808125000.000,1.0000,0.00
flags_O1,BM_FlagSensitiveKernel/1048576,50,5532940.000,5575720.000,1516120000.000,1.8761,-46.70
flags_O2,BM_FlagSensitiveKernel/1048576,50,5581700.000,5643330.000,1502880000.000,1.8597,-46.23
flags_O3,BM_FlagSensitiveKernel/1048576,50,5647120.000,5689640.000,1485470000.000,1.8382,-45.60
flags_O3_fast_math,BM_FlagSensitiveKernel/1048576,47,5981570.000,6038770.000,1402410000.000,1.7354,-42.38
flags_O3_march_native,BM_FlagSensitiveKernel/1048576,50,5629020.000,5680600.000,1490240000.000,1.8441,-45.77
flags_O3_fast_math_march_native,BM_FlagSensitiveKernel/1048576,48,5853650.000,5896970.000,1433060000.000,1.7733,-43.61
